model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,mt_corrected_sample_count_mean,mt_corrected_sample_pct_mean,error
hes,kappa,4.5,barr,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557066,0.005936395936557066,0.005908772982244614,0.0008577495204403974,0.4653152284258215,0.00642754444174997,0.0007499172116449903,8.273513263634431,0.9962315351783764,0.0020659269008319824,1000.0,,,0.0,0.0,18.26,1.8260000000000003,
hes,kappa,4.5,barr,put,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557066,0.005936395936557066,0.005942570132362699,0.00020078762529509092,0.10400579529427625,0.00624531492308526,0.00023590327537399797,5.2038137251902725,0.9443702457193285,0.007345341938780621,10000.0,,,0.0,0.0,185.84,1.8584000000000003,
hes,kappa,4.5,barr,put,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557066,0.005936395936557066,0.005925350071393864,6.89742738922514e-05,0.18607022309917046,0.006274771987287473,7.668756121860591e-05,5.700024970481592,0.963337866422371,0.05774778901832178,100000.0,,,0.0,0.0,1880.06,1.8800600000000003,
hes,theta,0.035,van,call,1000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.11352061652564492,0.11352061652564492,0.1132854700943538,0.004024949399168498,0.20713984691758486,0.1135911935628485,0.004060736290444099,0.062171118659870954,0.9898026102007134,0.002025961021427065,1000.0,,,0.0,0.0,23.92,2.392,
hes,theta,0.035,van,call,10000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.11352061652564492,0.11352061652564492,0.11308624160077242,0.0011201170448150609,0.38263968093793044,0.11339151961718746,0.00136666010455579,0.1137211128767025,0.9804927759198472,0.0076857296831440184,10000.0,,,0.0,0.0,236.08,2.3608000000000002,
hes,theta,0.035,van,call,100000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.11352061652564492,0.11352061652564492,0.11311846516809711,0.0004179908322778698,0.3542540287886527,0.11338351836260475,0.00046285101166180376,0.12076939611158263,1.0337059911416144,0.057987516180146484,100000.0,,,0.0,0.0,2318.86,2.3188599999999995,
hes,theta,0.035,van,put,1000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.06951809803687013,0.06951809803687013,0.06903134406610262,0.004306508155230457,0.7001830955003343,0.06897260117022533,0.004009350689627616,0.7846832437151693,0.9898026102007134,0.002025961021427065,1000.0,,,0.0,0.0,23.92,2.392,
hes,theta,0.035,van,put,10000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.06951809803687013,0.06951809803687013,0.06917795530604864,0.001184462293032205,0.4892865892865591,0.07050184253715669,0.0012393358931537674,1.4150912180664248,0.9804927759198472,0.0076857296831440184,10000.0,,,0.0,0.0,236.08,2.3608000000000002,
hes,theta,0.035,van,put,100000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.06951809803687013,0.06951809803687013,0.06900259003878698,0.0003988798850045176,0.7415450258862772,0.07008392253832559,0.000471214366150273,0.8139240247271411,1.0337059911416144,0.057987516180146484,100000.0,,,0.0,0.0,2318.86,2.3188599999999995,
hes,theta,0.035,barr,call,1000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.10746088130168203,0.10746088130168203,0.10733689982547798,0.003554486133688694,0.11537358962839336,0.10823851992185426,0.004095768024541174,0.7236480947788935,0.9898026102007134,0.002025961021427065,1000.0,,,0.0,0.0,23.92,2.392,
hes,theta,0.035,barr,call,10000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.10746088130168203,0.10746088130168203,0.10709242862911711,0.0011034165413038213,0.3428714413113216,0.10788348100598315,0.0013522770103730926,0.39325910897261407,0.9804927759198472,0.0076857296831440184,10000.0,,,0.0,0.0,236.08,2.3608000000000002,
hes,theta,0.035,barr,call,100000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.10746088130168203,0.10746088130168203,0.10710050983303249,0.000430648569986982,0.33535130578154604,0.10780717669912264,0.0004401854494660682,0.3222525194711801,1.0337059911416144,0.057987516180146484,100000.0,,,0.0,0.0,2318.86,2.3188599999999995,
hes,theta,0.035,barr,put,1000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.005678893404491705,0.005678893404491705,0.005679757062912435,0.0006396361575658837,0.015208216798846902,0.005910841261115436,0.0007270444208741173,4.0843847577817245,0.9898026102007134,0.002025961021427065,1000.0,,,0.0,0.0,23.92,2.392,
hes,theta,0.035,barr,put,10000,"(1.0, 1.0, 0.03, 2, 0.035, 0.5, -0.7, 0.05, 1.5)",,0.005678893404491705,0.005678893404491705,0.005626198497507935,0.00021891836354513786,0.9279080135945349,0.005926970786475747,0.0002061182270704741,4.368410609500536,0.9804927759198472,0.0076857296831440184,10000.0,,,0.0,0.0,236.08,2.3608000000000002,
