model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,nvp_mean,nvp_std,nvp_rel_error_pct,mc_seconds_mean,nvp_seconds_mean,error
hes,kappa,4.5,van,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1281119371006062,0.1281119371006062,0.1281513416616814,0.0017614784605688,0.0307579152785794,0.1291859991550278,0.001484029358833,0.8383778114119876,0.9443702457193284,0.0115537405840586,
hes,kappa,4.5,van,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1281119371006062,0.1281119371006062,0.1280924433381698,0.000594423570174,0.0152161952099127,0.1291647372173867,0.0006504805817436,0.8217814363025948,0.963337866422371,0.0340896637190599,
hes,kappa,4.5,van,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0841094186113294,0.0841094186113294,0.0831872810347746,0.0050080969366072,1.0963547148221964,0.0829163415329021,0.0040656206131798,1.4184821368704932,0.9962315351783764,0.0124232524249237,
hes,kappa,4.5,van,put,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0841094186113294,0.0841094186113294,0.0839858737853628,0.001071483954224,0.1468858399052656,0.0827071785355024,0.0012986974281388,1.6671617744819516,0.9443702457193284,0.0115537405840586,
hes,kappa,4.5,van,put,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.0841094186113294,0.0841094186113294,0.0842591345494677,0.000403476764489,0.1780013946239918,0.0827583033997628,0.0005022365647097,1.606378017912749,0.963337866422371,0.0340896637190599,
hes,kappa,4.5,barr,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1206176636163812,0.1206176636163812,0.1210601337376728,0.0060780375212558,0.3668369192581842,0.1216361623725403,0.0050220698581369,0.8444026568101546,0.9962315351783764,0.0124232524249237,
hes,kappa,4.5,barr,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1206176636163812,0.1206176636163812,0.120734476316028,0.0017296363893801,0.0968454338647479,0.1219171630088738,0.0013962874435796,1.077370721278092,0.9443702457193284,0.0115537405840586,
hes,kappa,4.5,barr,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.1206176636163812,0.1206176636163812,0.1206069928192007,0.0005911440665817,0.0088467947899174,0.1219234535246547,0.0006482225811906,1.08258597383087,0.963337866422371,0.0340896637190599,
hes,kappa,4.5,barr,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557,0.005936395936557,0.0059087729822446,0.0008577495204403,0.4653152284258215,0.0058007463149052,0.0007666219292901,2.285050106184414,0.9962315351783764,0.0124232524249237,
hes,kappa,4.5,barr,put,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557,0.005936395936557,0.0059425701323626,0.000200787625295,0.1040057952942762,0.0059681429800924,0.0002614989110918,0.5347864912430459,0.9443702457193284,0.0115537405840586,
