model,variable,value,barr_type,option_type,n_samples,eta,closed,fdm,reference,mc_mean,mc_std,mc_rel_error_pct,cvae_mean,cvae_std,cvae_rel_error_pct,mc_seconds_mean,cvae_seconds_mean,used_sample_count_mean,discarded_sample_count_mean,discarded_sample_pct_mean,regenerated_sample_count_mean,regenerated_sample_pct_mean,error
hes,kappa,4.5,van,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12896962074038665,0.0063286198727709195,0.6694798776688754,0.1258562511407912,0.005934340883876392,1.760714895789692,0.9962315351783764,0.0027257042634300887,982.42,17.58,1.758,0.0,0.0,
hes,kappa,4.5,van,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12815134166168143,0.0017614784605688948,0.030757915278579427,0.12686586239887165,0.0015344735037150165,0.9726452740747229,0.9443702457193285,0.007313366220332682,9822.7,177.3,1.7730000000000001,0.0,0.0,
hes,kappa,4.5,van,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12811193710060628,0.12811193710060628,0.12809244333816985,0.0005944235701740904,0.01521619520991273,0.12655963915615623,0.0005785897550063554,1.211673150512926,0.963337866422371,0.05664570233668201,98223.06,1776.94,1.7769400000000002,0.0,0.0,
hes,kappa,4.5,van,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.08318728103477464,0.005008096936607239,1.0963547148221964,0.08463791259210715,0.0035289441151450146,0.6283410223293002,0.9962315351783764,0.0027257042634300887,982.42,17.58,1.758,0.0,0.0,
hes,kappa,4.5,van,put,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.0839858737853628,0.0010714839542240032,0.14688583990526563,0.08428524426532767,0.0012460380082272304,0.20904395357988587,0.9443702457193285,0.007313366220332682,9822.7,177.3,1.7730000000000001,0.0,0.0,
hes,kappa,4.5,van,put,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.08410941861132949,0.08410941861132949,0.08425913454946779,0.0004034767644890621,0.17800139462399187,0.08457040913820514,0.0004092745894859099,0.5480843102790791,0.963337866422371,0.05664570233668201,98223.06,1776.94,1.7769400000000002,0.0,0.0,
hes,kappa,4.5,barr,call,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.1210601337376728,0.006078037521255859,0.3668369192581842,0.11870957547772534,0.005999103668166346,1.581930939007827,0.9962315351783764,0.0027257042634300887,982.42,17.58,1.758,0.0,0.0,
hes,kappa,4.5,barr,call,10000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.12073447631602807,0.001729636389380111,0.09684543386474792,0.11931437684538798,0.0016376302708095132,1.0805107078995704,0.9443702457193285,0.007313366220332682,9822.7,177.3,1.7730000000000001,0.0,0.0,
hes,kappa,4.5,barr,call,100000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.12061766361638127,0.12061766361638127,0.12060699281920073,0.000591144066581712,0.00884679478991748,0.1190192068073003,0.0006089086501272137,1.3252261411436246,0.963337866422371,0.05664570233668201,98223.06,1776.94,1.7769400000000002,0.0,0.0,
hes,kappa,4.5,barr,put,1000,"(1.0, 1.0, 0.03, 4.5, 0.05, 0.5, -0.7, 0.05, 1.5)",,0.005936395936557066,0.005936395936557066,0.005908772982244614,0.0008577495204403974,0.4653152284258215,0.006017707350769715,0.000817666056901533,1.3697100914702018,0.9962315351783764,0.0027257042634300887,982.42,17.58,1.758,0.0,0.0,
