set_idx,option,opt_type,barrier,S0,K,r,sigma,T,closed_form_delta,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_100k_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,vega_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,mc_100k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
9,barr_call,call,0.8,1.0,1.0,0.08759326347420948,0.9508590402340381,1.071,0.9767991766843176,0.9301406424976705,1.1960025467877555,1.0091023318178376,0.7433583689433421,0.8605837929563764,1.084213749123919,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.00950859040234038,0.010709999999999999,0.046658534186647116,0.21920337010343793,0.03230315513352,0.23344080774097553,0.11621538372794116,0.1074145724396014
9,barr_put,put,0.8,1.0,1.0,0.08759326347420948,0.9508590402340381,1.071,0.0012921764563203486,-0.0012177118597049758,0.0020779317035522684,0.001250427074141403,-0.0033911884372476203,-0.00038195089588774424,0.0028339911198684703,1000,10000,100000,0.001,2134,1000,10000,100000,2134,0.01,0.0008759326347420949,0.00950859040234038,0.010709999999999999,0.0025098883160253244,0.0007857552472319198,4.1749382178945605e-05,0.0046833648935679685,0.0016741273522080928,0.0015418146635481217
10,van_call,call,,1.0,1.0,0.03578172699578667,0.3263817070109219,0.342,0.5633816729004836,0.5729672038630867,0.5737227757967824,0.5739544236192481,0.5752052270110941,0.5764608363292928,0.5748732927775002,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,0.0032638170701092192,0.0034200000000000003,0.009585530962603173,0.01034110289629886,0.010572750718764512,0.011823554110610535,0.013079163428809215,0.011491619877016634
10,van_put,put,,1.0,1.0,0.03578172699578667,0.3263817070109219,0.342,-0.4366183270995164,-0.4271668997021208,-0.4263479939991405,-0.42617312448013644,-0.42425611029581617,-0.42369233729596945,-0.42524749702009257,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,0.0032638170701092192,0.0034200000000000003,0.009451427397395629,0.01027033310037595,0.010445202619379979,0.012362216803700254,0.012925989803546978,0.011370830079423855
10,barr_call,call,0.8,1.0,1.0,0.03578172699578667,0.3263817070109219,0.342,0.5828293987459182,0.5934486576349637,0.5853731316811384,0.5810630376049425,0.5929118207843989,0.5805117587720676,0.580360143578898,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,0.0032638170701092192,0.0034200000000000003,0.010619258889045469,0.0025437329352201443,0.0017663611409757252,0.010082422038480643,0.0023176399738505937,0.0024692551670202345
10,barr_put,put,0.8,1.0,1.0,0.03578172699578667,0.3263817070109219,0.342,-0.019084751763584484,-0.07894372096178479,-0.04186128433058649,-0.019582028235098567,-0.07058791236221641,0.002684729713050768,-0.018670932641518673,1000,10000,100000,0.001,2234,1000,10000,100000,2234,0.01,0.0003578172699578667,0.0032638170701092192,0.0034200000000000003,0.0598589691982003,0.022776532567002003,0.0004972764715140826,0.05150316059863193,0.021769481476635252,0.0004138191220658116
11,van_call,call,,1.0,1.0,0.050099512552345876,0.19442507146362342,2.306,0.7050300824078217,0.7095445014065033,0.7124368787856467,0.7108635018205495,0.7130116068637005,0.7091630800726778,0.7109008246637238,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.0019442507146362343,0.02306,0.004514418998681546,0.007406796377824931,0.005833419412727747,0.007981524455878741,0.004132997664856086,0.005870742255902117
11,van_put,put,,1.0,1.0,0.050099512552345876,0.19442507146362342,2.306,-0.2949699175921783,-0.2892469877269266,-0.2885014091811744,-0.28912308938704095,-0.2853146954777938,-0.29008386846735984,-0.28964113521975365,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.0019442507146362343,0.02306,0.005722929865251691,0.0064685084110038815,0.005846828205137322,0.009655222114384465,0.004886049124818437,0.005328782372424623
11,barr_call,call,0.8,1.0,1.0,0.050099512552345876,0.19442507146362342,2.306,0.7967945003659105,0.7480457474747709,0.808138124108454,0.797578861201112,0.82402282015068,0.769773062539375,0.7845020741800796,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.0019442507146362343,0.02306,0.04874875289113956,0.011343623742543496,0.000784360835201503,0.027228319784769472,0.027021437826535433,0.01229242618583093
11,barr_put,put,0.8,1.0,1.0,0.050099512552345876,0.19442507146362342,2.306,0.0073205919652125084,-0.01784686947065529,0.019304763886679368,0.012190171827942964,-0.02099929593380621,0.005204729245806682,0.014469561328624668,1000,10000,100000,0.001,2334,1000,10000,100000,2334,0.01,0.0005009951255234588,0.0019442507146362343,0.02306,0.0251674614358678,0.01198417192146686,0.004869579862730455,0.02831988789901872,0.002115862719405826,0.0071489693634121596
