set_idx,option,opt_type,barrier,S0,K,r,kappa,long_var,xi,corr,v0,T,mc_1k_delta,mc_10k_delta,mc_100k_delta,cvae_1k_delta,cvae_10k_delta,cvae_100k_delta,mc_1k_n_paths,mc_10k_n_paths,mc_reference_n_paths,mc_dt,mc_seed,cvae_1k_n_samples,cvae_10k_n_samples,cvae_100k_n_samples,cvae_seed,delta_h,rho_h,v0_h,theta_h,mc_1k_abs_error,mc_10k_abs_error,cvae_1k_abs_error,cvae_10k_abs_error,cvae_100k_abs_error
5,van_put,put,,1.0,1.0,0.027259260528264162,1.7970848823420655,0.06041869923889445,0.611799950856493,-0.6199485458633417,0.0017125253846547242,1.067,-0.30274286928475763,-0.29787238132215205,-0.2969867490146792,-0.29565665383413997,-0.29856049884989033,-0.2931414355532083,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,1.7125253846547243e-05,0.010669999999999999,0.005756120270078435,0.00088563230747285,0.0013300951805392258,0.0015737498352111357,0.0038453134614708784
5,barr_call,call,0.8,1.0,1.0,0.027259260528264162,1.7970848823420655,0.06041869923889445,0.611799950856493,-0.6199485458633417,0.0017125253846547242,1.067,0.7223119557814878,0.7149353524231169,0.7127613269314672,0.6960369953565387,0.7106123071614512,0.7092351066468161,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,1.7125253846547243e-05,0.010669999999999999,0.00955062885002056,0.0021740254916496893,0.016724331574928475,0.002149019770016025,0.003526220284651105
5,barr_put,put,0.8,1.0,1.0,0.027259260528264162,1.7970848823420655,0.06041869923889445,0.611799950856493,-0.6199485458633417,0.0017125253846547242,1.067,-0.0850612239302613,-0.06688952795452958,-0.054938983147944515,-0.020818216738928245,-0.04624902392982178,-0.057160877429349166,1000,10000,100000,0.001,1734,1000,10000,100000,1734,0.01,0.0002725926052826416,1.7125253846547243e-05,0.010669999999999999,0.03012224078231679,0.01195054480658507,0.03412076640901627,0.008689959218122732,0.0022218942814046516
6,van_call,call,,1.0,1.0,0.02764642551430967,4.5755391648783315,0.025158997598733822,0.1375396159075644,-0.6381649029232556,0.036234683050996065,0.406,0.6087768082383531,0.5999053170037738,0.5993314357819912,0.5957553290407577,0.6004096963278714,0.6026766513167824,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00036234683050996065,0.00406,0.0094453724563619,0.0005738812217825906,0.0035761067412335423,0.0010782605458802275,0.0033452155347911683
6,van_put,put,,1.0,1.0,0.02764642551430967,4.5755391648783315,0.025158997598733822,0.1375396159075644,-0.6381649029232556,0.036234683050996065,0.406,-0.3909587934160727,-0.40001667065224716,-0.40075294527742095,-0.40471998252230856,-0.3997366599532488,-0.3974638110287143,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00036234683050996065,0.00406,0.009794151861348244,0.0007362746251737828,0.003967037244887617,0.0010162853241721392,0.0032891342487066377
6,barr_call,call,0.8,1.0,1.0,0.02764642551430967,4.5755391648783315,0.025158997598733822,0.1375396159075644,-0.6381649029232556,0.036234683050996065,0.406,0.6087768082383531,0.5999053170607803,0.5995493674146125,0.5957553290407577,0.6002093025166959,0.6028766767569804,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00036234683050996065,0.00406,0.009227440823740607,0.000355949646167808,0.0037940383738548356,0.0006599351020833977,0.0033273093423679123
6,barr_put,put,0.8,1.0,1.0,0.02764642551430967,4.5755391648783315,0.025158997598733822,0.1375396159075644,-0.6381649029232556,0.036234683050996065,0.406,-0.20814098221487615,-0.23294171329547933,-0.22805306163028102,-0.2801855432647014,-0.2271128632074331,-0.22856406066905435,1000,10000,100000,0.001,1834,1000,10000,100000,1834,0.01,0.00027646425514309673,0.00036234683050996065,0.00406,0.019912079415404876,0.004888651665198307,0.052132481634420386,0.0009401984228479265,0.0005109990387733299
7,van_call,call,,1.0,1.0,0.08018721775350193,4.242806331752232,0.08442698759873137,0.9960707147944412,-0.9087564750701501,0.16840377142426002,1.958,0.7976291324256479,0.7814215100382854,0.7887921832880673,0.7856837935852984,0.7884831662199193,0.7921333036042866,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.0016840377142426002,0.01958,0.008836949137580596,0.007370673249781912,0.0031083897027689433,0.0003090170681480098,0.003341120316219248
7,van_put,put,,1.0,1.0,0.08018721775350193,4.242806331752232,0.08442698759873137,0.9960707147944412,-0.9087564750701501,0.16840377142426002,1.958,-0.20387465593730142,-0.21658621315955306,-0.21238405536073146,-0.21928206704579095,-0.21499321929915743,-0.2105298883628301,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.0016840377142426002,0.01958,0.008509399423430042,0.004202157798821604,0.006898011685059491,0.0026091639384259735,0.001854166997901363
7,barr_call,call,0.8,1.0,1.0,0.08018721775350193,4.242806331752232,0.08442698759873137,0.9960707147944412,-0.9087564750701501,0.16840377142426002,1.958,0.8359194161195821,0.941887192402377,0.9295893569097297,0.980520383675218,0.9025607850807249,0.9329043032881623,1000,10000,100000,0.001,1934,1000,10000,100000,1934,0.01,0.0008018721775350194,0.0016840377142426002,0.01958,0.09366994079014757,0.012297835492647291,0.05093102676548833,0.027028571829004755,0.0033149463784326594
